Air Date,Airdate,City,Country,Day,Description,Episode,Latitude,Longitude,Month1,Month,Number of Records,Order,Region,Season,Show,Source,State,Title,Year
2/23/2003,"February 23, 2003",Kansas City,United States,23,"Kansas City, Houston and North Carolina are locked in a BBQ Battle to the death. Secret sauces, wood pits, slow smokers ... there's no end to how to prepare your ribs, ""burnt ends,"" and brisket. Don't watch if you don't want to get dirty!",7,39.114053,-94.627464,2,February,1,33,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-bbq-triangle,Kansas,The BBQ Triangle,2003
2/23/2003,"February 23, 2003",Houston,United States,23,"Kansas City, Houston and North Carolina are locked in a BBQ Battle to the death. Secret sauces, wood pits, slow smokers ... there's no end to how to prepare your ribs, ""burnt ends,"" and brisket. Don't watch if you don't want to get dirty!",7,29.760427,-95.369803,2,February,1,34,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-bbq-triangle,Texas,The BBQ Triangle,2003
2/23/2003,"February 23, 2003",Wilson,United States,23,"Kansas City, Houston and North Carolina are locked in a BBQ Battle to the death. Secret sauces, wood pits, slow smokers ... there's no end to how to prepare your ribs, ""burnt ends,"" and brisket. Don't watch if you don't want to get dirty!",7,35.721269,-77.91554,2,February,1,35,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-bbq-triangle,North Carolina,The BBQ Triangle,2003
3/2/2003,"March 2, 2003",Sydney,Australia,2,"Tony Bourdain's in pursuit of the planet's finest meals so he's traveled halfway around the world to Sydney, Australia's esteemed Tetsuya restaurant. But before he can feast on Chef Tets' cuisine, Tony's got to eat his way out of the outback, dining on authentic bush fare!",8,-33.86882,151.209296,3,March,1,36,Oceania,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/mad-tony-the-food-warrior,,Mad Tony: The Food Warrior,2003
3/9/2003,"March 9, 2003",Melbourne,Australia,9,"Melbourne is the food-craziest, English-speaking city in the world. From the wild man of Australian cheese to breeders of rare English pigs, in Melbourne, chefs rule! These food lovers are Tony's kind of folk -- gun slinging chefs in a real foodie town!",9,-37.813628,144.963058,3,March,1,37,Oceania,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/down-under-the-wild-west-of-cooking,,Down Under: The Wild West of Cooking,2003
3/16/2003,"March 16, 2003",Singapore,Singapore,16,"Singapore is filled with food, food, food! Naturally, Tony Bourdain feels right at home there. From chicken congee served with root beer floats, to stunning ""wet markets"" and a red light district right nearby, this is surely the land of plenty! Surrounded by this rich bounty, Tony wants nothing more than to lose himself in this city!",10,1.352083,103.819836,3,March,1,38,Asia,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/singapore-new-york-in-twenty-years,,Singapore: New York in Twenty Years,2003
3/23/2003,"March 23, 2003",Chiang Mai,Thailand,23,"Tony Bourdain tries to get lost in Chang Mai, Thailand. His journey entails an impromptu elephant ride through the jungle, amazing meals with a wonderful Thai family on a farm, taking in some kick-boxing and trying out the traditional Thai massage.",11,18.706064,98.981716,3,March,1,39,Asia,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/lets-get-lost,,Let's Get Lost,2003
3/30/2003,"March 30, 2003",Hanoi,Vietnam,30,"Tony falls in love, and is cast under Vietnam's spell. He is eager to return to Hanoi and hook up with his friend from last season, Linh Hoang Dinh. Lihn invites him to his home to celebrate the Tet holiday (Vietnamese New Year) -- a once in a lifetime experience!",12,21.027764,105.83416,3,March,1,40,Asia,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/gone-bamboo,,Gone Bamboo,2003
4/7/2003,"April 7, 2003",Bangkok,Thailand,7,Tony has a layover in Bangkok and decides to explore. He delves into the city and re-emerges 24 hrs later having hooked up with a crazy westerner ex-pat who's into strange foods and a Thai guide who shows him the great eateries in the red light district.,13,13.756331,100.501765,4,April,1,41,Asia,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/thailand-one-night-in-bangkok,,One Night in Bangkok,2003
4/7/2003,"April 7, 2003",Singapore,Singapore,7,Tony has a layover in Bangkok and decides to explore. He delves into the city and re-emerges 24 hrs later having hooked up with a crazy westerner ex-pat who's into strange foods and a Thai guide who shows him the great eateries in the red light district.,13,1.352083,103.819836,4,April,1,42,Asia,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/thailand-one-night-in-bangkok,,One Night in Bangkok,2003
7/25/2005,"July 25, 2005",Paris,France,25,"Tony's debut episode of this new series has him visiting Paris. He explores the city's famous catacombs, tries some absinthe, checks out one of the city's major meat markets, and spends the night in the room where Oscar Wilde died.",1,48.856614,2.352222,7,July,1,43,Europe,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,France: Why the French Don't Suck,2005
8/1/2005,"August 1, 2005",Reykjavík,Iceland,1,"This week Anthony travels to Reykjavík, Iceland, where in winter the volcanic islands see only about four hours of sunlight a day. Anthony finds the darkness comforting and learns how the Icelanders contend with the dark days - eating, drinking, spending time at the spa, and pumping iron! Tony tries Hákarl (fermented shark). Later, he visits the famous Blue Lagoon.",2,64.126521,-21.817439,8,August,1,44,Europe,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Iceland: Hello Darkness My Old Friend,2005
8/8/2005,"August 8, 2005",Fort Lee,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,40.850933,-73.970138,8,August,1,45,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/8/2005,"August 8, 2005",Barnegat Light,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,39.75762,-74.106247,8,August,1,46,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/8/2005,"August 8, 2005",Atlantic City,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,39.364283,-74.422927,8,August,1,47,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/8/2005,"August 8, 2005",Camden,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,39.925946,-75.11962,8,August,1,48,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/8/2005,"August 8, 2005",Warren Grove,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,39.746634,-74.370289,8,August,1,49,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/8/2005,"August 8, 2005",Asbury Park,United States,8,"Tony visits the state of New Jersey. He takes us on a trip through his birthplace trying to dispel some common misconceptions of the Garden State. We learn about The Sopranos and other NJ landmarks as Tony reminisces. He also meets up with Nari Kye, an assistant, who teaches him Korean food.",3,40.220391,-74.012082,8,August,1,50,North America,1,No Reservations,http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,New Jersey,New Jersey,2005
8/15/2005,"August 15, 2005",Hanoi,Vietnam,15,"Responding to an invitation from an old friend, Linh. Tony travels to Hanoi, Mai Châu and Tuần Châu, Vietnam with the feeling of James Bond-ish intrigue, discovering its food like squeasel, its customs, and the not-so-sinister plans for international tourism.",4,21.027764,105.83416,8,August,1,51,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Vietnam: The Island of Mr. Sang,2005
8/15/2005,"August 15, 2005",Mai Châu,Vietnam,15,"Responding to an invitation from an old friend, Linh. Tony travels to Hanoi, Mai Châu and Tuần Châu, Vietnam with the feeling of James Bond-ish intrigue, discovering its food like squeasel, its customs, and the not-so-sinister plans for international tourism.",4,20.690134,105.008989,8,August,1,52,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Vietnam: The Island of Mr. Sang,2005
8/15/2005,"August 15, 2005",Tuần Châu,Vietnam,15,"Responding to an invitation from an old friend, Linh. Tony travels to Hanoi, Mai Châu and Tuần Châu, Vietnam with the feeling of James Bond-ish intrigue, discovering its food like squeasel, its customs, and the not-so-sinister plans for international tourism.",4,20.92745,106.986038,8,August,1,53,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Vietnam: The Island of Mr. Sang,2005
8/22/2005,"August 22, 2005",Kuala Lumpur,Malaysia,22,"Tony has always had an interest in ""natural fusion"" or the way cuisines intertwine with cultures over the course of history. In Kuala Lumpur, Malaysia, this is particularly true as a variety of cultures have blended. Chef Wan gives Tony a tour of a wet market and hawker stalls in Kuala Lumpur. Inspired to find his own Heart of Darkness and live out his inner Kurtz, Tony rides up the Skrang River to visit with an Iban village.",5,3.139003,101.686855,8,August,1,54,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Malaysia: Into the Jungle,2005
10/10/2005,"October 10, 2005",Agrigento,Italy,10,"While on the island of Sicily, Tony is treated to tripe at the II Capo Market. He tries a spleen sandwich with the Governor of Sicily (Salvatore Cuffaro). Tony is persuaded to try a cliff dive and attempts to determine where you can find the greatest cannoli.",6,37.309407,13.585982,10,October,1,55,Europe,1,No Reservations,https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,,Sicily,2005
10/10/2005,"October 10, 2005",Catania,Italy,10,"While on the island of Sicily, Tony is treated to tripe at the II Capo Market. He tries a spleen sandwich with the Governor of Sicily (Salvatore Cuffaro). Tony is persuaded to try a cliff dive and attempts to determine where you can find the greatest cannoli.",6,37.507877,15.08303,10,October,1,56,Europe,1,No Reservations,https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,,Sicily,2005
10/10/2005,"October 10, 2005",Parlermo,Italy,10,"While on the island of Sicily, Tony is treated to tripe at the II Capo Market. He tries a spleen sandwich with the Governor of Sicily (Salvatore Cuffaro). Tony is persuaded to try a cliff dive and attempts to determine where you can find the greatest cannoli.",6,38.115688,13.361267,10,October,1,57,Europe,1,No Reservations,https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,,Sicily,2005
10/10/2005,"October 10, 2005",Taormina,Italy,10,"While on the island of Sicily, Tony is treated to tripe at the II Capo Market. He tries a spleen sandwich with the Governor of Sicily (Salvatore Cuffaro). Tony is persuaded to try a cliff dive and attempts to determine where you can find the greatest cannoli.",6,37.851637,15.285313,10,October,1,58,Europe,1,No Reservations,https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,,Sicily,2005
10/10/2005,"October 10, 2005",Trapani,Italy,10,"While on the island of Sicily, Tony is treated to tripe at the II Capo Market. He tries a spleen sandwich with the Governor of Sicily (Salvatore Cuffaro). Tony is persuaded to try a cliff dive and attempts to determine where you can find the greatest cannoli.",6,38.017618,12.537202,10,October,1,59,Europe,1,No Reservations,https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,,Sicily,2005
10/17/2005,"October 17, 2005",Las Vegas,United States,17,"Given an assignment to write about Las Vegas food by a food magazine, Tony spends four days exploring the city and learns how it's transforming into a mecca for chefs.",7,36.169941,-115.13983,10,October,1,60,North America,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,Nevada,Las Vegas,2005
10/24/2005,"October 24, 2005",Samarkand,Uzbekistan,24,"Tashkent to Samarkand, Uzbekistan. Tony explores the 2000-year-old city of Tashkent, capital of Uzbekistan, with his friend Zamir Gotta. He partakes in local culture, attends a wedding, and receives a traumatizing full-body massage at a sauna.",8,39.627012,66.974973,10,October,1,61,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Uzbekistan,2005
10/24/2005,"October 24, 2005",Tashkent,Uzbekistan,24,"Tashkent to Samarkand, Uzbekistan. Tony explores the 2000-year-old city of Tashkent, capital of Uzbekistan, with his friend Zamir Gotta. He partakes in local culture, attends a wedding, and receives a traumatizing full-body massage at a sauna.",8,41.299496,69.240073,10,October,1,62,Asia,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,Uzbekistan,2005
11/7/2005,"November 7, 2005",Christchurch,New Zealand,7,"Tony is invited to New Zealand to lecture at a gourmet food convention. But after receiving a lukewarm reception from the crowd, he decides to search for real Kiwi culture outside the city of Christchurch. Tony's ride on an ATV becomes a little harrowing. Tony is invited to visit the Māori.",9,-43.532054,172.636225,11,November,1,63,Oceania,1,No Reservations,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,,New Zealand: Down Under the Down Under,2005
